MONTH,ERA5,BCC,CESM-B,CESM-C,CMCC-CESM,CMCC-CMS,CNRM,EARTH,GFDL-C,GFDL-E,HADGEM,INM,IPSL,MPI,MRI,NOR,VAR,PERIOD
I,-14.462,-20.547,-20.611,-5.9886,-16.114,-18.562,-14.736,-24.433,-11.522,-14.113,-12.181,-10.135,-32.504,-14.124,-33.844,-9.2491,H,1981_2005
II,-5.8838,-17.69,-11.787,2.789,-10.602,-11.423,-8.4764,-11.472,-4.2372,-4.5657,-8.3306,1.7045,-19.278,-5.3336,-24.349,-6.9834,H,1981_2005
III,6.4204,-6.6922,13.925,22.451,3.1735,-0.38866,7.9922,3.2494,8.9627,3.3715,9.3552,19.918,2.5327,6.6686,-3.3432,9.0511,H,1981_2005
IV,21.353,11.531,33.945,38.485,20.466,13.848,22.409,17.458,24.825,21.544,33.227,33.865,31.585,23.397,21.371,29.297,H,1981_2005
V,22.151,30.747,44.674,38.342,24.274,20.347,28.928,27.011,33.432,30.659,46.856,35.03,45.506,31.281,37.461,36.395,H,1981_2005
VI,21.651,47.606,40.029,35.861,18.755,17.913,32.076,29.794,31.335,26.601,54.619,45.956,52.254,24.987,40.238,36.937,H,1981_2005
VII,21.075,59.6,38.011,34.55,6.7657,17.1,39.325,27.381,33.862,23.312,53.16,71.273,52.013,18.48,36.779,39.373,H,1981_2005
VIII,18.592,51.298,35.78,27.333,-1.5428,9.1336,34.308,18.701,29.494,13.733,44.658,78.384,41.041,14.788,19.731,32.547,H,1981_2005
IX,9.219,27.093,19.822,18.398,-11.158,2.0183,17.289,6.2878,12.997,-0.28514,25.683,35.668,18.501,12.279,4.4167,19.51,H,1981_2005
X,-1.5498,-6.3903,-0.63676,7.3189,-18.227,-5.9514,1.8376,-6.5666,-3.9839,-9.7655,6.6475,5.2784,-6.7605,-0.26367,-12.412,0.90064,H,1981_2005
XI,-8.5742,-18.182,-15.602,-2.7932,-19.485,-14.52,-10.543,-18.147,-13.014,-17.432,-4.1856,-9.8074,-26.695,-10.125,-25.063,-9.9028,H,1981_2005
XII,-14.471,-22.581,-24.284,-8.2603,-23.383,-17.06,-16.544,-22.948,-15.21,-18.159,-9.6607,-15.487,-34.656,-18.446,-31.411,-12.107,H,1981_2005
I,NA,-24.021,-21.872,-9.2765,-25.191,-17.981,-14.564,-23.454,-18.744,-18.742,-12.736,-13.312,-33.398,-17.142,-29.354,-13.536,H,2076_2100
II,NA,-19.127,-10.264,4.6924,-21.184,-13.864,-6.3984,-13.091,-12.904,-9.2362,-2.8301,0.24289,-21.644,-10.034,-20.687,-2.4641,H,2076_2100
III,NA,-8.9159,15.197,28.649,-0.52958,-1.4764,11.708,-0.32358,8.3618,5.24,14.094,17.123,1.0036,0.91392,-2.6096,12.502,H,2076_2100
IV,NA,18.408,42.522,49.608,8.1879,11.957,24.244,16.163,25.193,22.183,35.963,28.857,31.404,18.645,21.746,34.89,H,2076_2100
V,NA,50.445,58.874,55.587,11.84,16.293,28.15,24.2,35.654,30.351,51.39,38.101,52.351,25.79,35.566,50.117,H,2076_2100
VI,NA,62.796,57.029,57.499,5.9306,18.259,36.892,32.39,43.78,27.965,72.808,62.659,66.084,28.097,38.912,52.286,H,2076_2100
VII,NA,92.106,64.684,59.012,2.7436,20.328,53.643,37.671,67.805,31.221,89.231,100.78,71.074,32.525,33.836,54.107,H,2076_2100
VIII,NA,83.63,61.511,54.447,-4.8606,19.556,44.139,32.24,61.526,26.254,77.767,95.41,56.73,36.68,21.532,49.246,H,2076_2100
IX,NA,43.298,36.648,37.24,-18.7,6.1724,23.294,14.643,34.946,6.1877,42.915,41.093,30.577,22.675,5.5434,29.105,H,2076_2100
X,NA,-4.0538,5.6226,15.796,-28.977,-5.0781,4.378,-7.2547,-0.90693,-9.9023,11.222,4.7492,-0.30418,4.1996,-10.235,4.5056,H,2076_2100
XI,NA,-20.916,-15.151,-1.7705,-34.069,-14.457,-8.6698,-18.396,-21.593,-20.237,-3.6425,-9.6696,-25.762,-12.614,-22.249,-13.383,H,2076_2100
XII,NA,-27.178,-26.283,-10.736,-30.185,-20.511,-14.695,-23.712,-24.227,-23.995,-11.646,-13.91,-36.483,-18.798,-29.173,-16.151,H,2076_2100
I,7.8141,20.037,14.612,7.3125,11.761,11.53,6.1993,13.293,14.253,14.652,9.1967,6.308,25.262,17.967,13.048,12.065,LE,1981_2005
II,11.838,26.807,20.087,11.24,13.903,16.185,11.34,17.996,19.409,19.071,17.741,13.8,27.197,27.348,17.317,14.942,LE,1981_2005
III,27.556,37.392,31.297,22.157,19.633,30.908,26.982,36.085,38.277,35.062,33.516,37.245,29.223,41.651,31.569,25.218,LE,1981_2005
IV,55.625,50.789,54.228,43.788,31.812,46.799,54.518,65.746,53.63,57.747,61.752,74.809,33.641,57.266,50.844,41.331,LE,1981_2005
V,82.514,59.595,83.332,71.196,55.486,68.678,81.661,93.662,70.598,75.761,87.916,110.24,56.223,79.278,76.166,67.266,LE,1981_2005
VI,91.523,69.727,107.36,89.694,73.977,81.674,93.658,105.08,85.101,95.114,102.4,123.48,88.65,95.723,95.616,93.5,LE,1981_2005
VII,91.303,62.769,104.55,88.801,73.76,80.655,79.006,103.67,81.244,93.882,91.906,91.442,97.359,90.313,95.943,87.023,LE,1981_2005
VIII,76.221,50.374,80.452,68.063,55.769,59.829,60.708,83.185,62.523,76.846,71.987,45.205,72.51,70.423,74.716,69.742,LE,1981_2005
IX,49.056,37.764,49.633,43.523,38.205,38.874,39.292,56.455,46.114,54.268,48.373,43.813,41.722,44.569,45.448,45.846,LE,1981_2005
X,28.126,30.162,27.796,21.914,27.267,17.956,22.658,31.327,33.928,33.191,24.324,30.732,24.208,23.576,27.042,27.408,LE,1981_2005
XI,13.109,24.84,16.954,11.077,19.463,11.571,10.321,16.409,21.306,22.26,13.023,13.819,20.963,14.335,16.829,19.516,LE,1981_2005
XII,7.4886,20.566,15.083,7.6666,15.496,9.0689,6.5774,10.409,13.689,16.468,8.3382,7.1844,22.311,16.955,13.371,15.287,LE,1981_2005
I,NA,25.659,17.738,13.496,22.128,14.714,10.304,17.077,22.952,19.508,16.468,11.033,24.302,20.814,15.163,17.718,LE,2076_2100
II,NA,29.518,22.705,17.314,24.796,21.413,20.169,24.823,33.531,25.736,23.733,21.762,25.974,30.371,21.711,19.328,LE,2076_2100
III,NA,42.598,33.341,28.784,25.45,33.396,39.682,46.834,45.964,41.183,42.982,46.585,28.798,45.685,36.828,29.04,LE,2076_2100
IV,NA,54.776,53.697,50.033,41.942,50.566,70.947,76.479,64.633,57.808,68.208,84.15,37.213,57.985,57.893,48.703,LE,2076_2100
V,NA,59.788,81.306,78.997,66.85,75.721,103.23,101.79,90.863,78.33,94.604,114.38,57.797,80.913,85.224,74.15,LE,2076_2100
VI,NA,69.824,109.99,98.593,88.399,97.297,111.85,115.6,103.18,103.83,97.453,107.06,84.517,90.841,107.7,96.607,LE,2076_2100
VII,NA,51.109,100.35,91.84,86.927,95.959,92.058,110.27,75.47,97.469,70.325,56.553,86.438,88.868,107.65,91.791,LE,2076_2100
VIII,NA,34.177,71.504,67.004,65.74,69.484,68.77,87.134,45.545,74.913,48.904,27.27,70.715,63.361,78.787,70.846,LE,2076_2100
IX,NA,30.363,45.525,43.934,48.295,39.619,48.587,58.211,37.173,52.115,39.686,39.187,43.238,38.214,49.431,48.844,LE,2076_2100
X,NA,35.575,28.109,24.896,38.678,17.508,29.868,35.727,36.599,35.912,26.748,32.451,25.827,20.573,29.25,33.787,LE,2076_2100
XI,NA,28.675,19.622,15.694,33.976,11.847,14.908,19.954,31.277,25.671,16.013,16.225,21.86,15.469,18.434,25.428,LE,2076_2100
XII,NA,27.683,19.123,12.671,26.144,14.176,8.2969,15.01,25.287,22.51,14.343,8.6036,25.343,17.631,15.409,19.492,LE,2076_2100
I,39.196,24.558,37.485,36.847,20.015,25.292,37.782,35.316,40.033,34.801,40.406,43.42,29.382,33.823,41.753,31.069,Rg,1981_2005
II,72.488,48.285,71.797,67.193,44.076,51.789,73.143,72.796,72.85,64.809,71.97,81.302,57.008,59.765,76.978,59.744,Rg,1981_2005
III,118.85,86.921,127.68,120.99,86.163,84.994,132.44,125.78,115.83,109.94,122.63,134.96,112.18,103.06,133.67,106.11,Rg,1981_2005
IV,177.97,136.02,188.93,174.73,142.47,133.57,184.64,176.41,167.01,172.58,190.4,190.38,182.61,155.72,200.13,166.79,Rg,1981_2005
V,215.1,177.6,241.48,206.84,177.77,181.14,222.33,217.74,217.71,228.69,248.04,238.09,236.55,208.92,258.22,216.13,Rg,1981_2005
VI,217.64,224.05,260.34,224.8,189.67,190.57,247.17,233.57,234.43,247.87,281.84,275.37,291.64,222,289.72,255.02,Rg,1981_2005
VII,212.61,232.42,249.62,219.79,157.32,187.79,239.82,227.83,232.34,235.34,264.03,287.06,298.34,201.81,282.92,241.12,Rg,1981_2005
VIII,185.98,200.99,218.54,178.3,116.75,142.17,201.12,190.3,194.97,190.23,224.77,245.23,240.01,169.29,227.07,202.27,Rg,1981_2005
IX,127.58,149.28,154.72,130.46,68.118,106.03,139.19,138,138.75,124.01,159.29,163.16,153.27,130.87,153.71,144.4,Rg,1981_2005
X,81.243,62.875,93.101,81.748,38.234,59.193,87.348,82.506,80.437,72.496,82.689,89.77,83.835,76.172,87.091,81.275,Rg,1981_2005
XI,43.176,25.25,44.979,43.425,19.644,27.211,46.046,42.439,44.025,37.81,43.523,48.686,38.849,40.935,46.049,37.928,Rg,1981_2005
XII,29.806,17.865,29.067,28.937,11.787,17.083,28.218,27.18,31.306,25.777,31.864,32.263,22.544,25.009,32.113,22.328,Rg,1981_2005
I,NA,20.992,36.553,43.378,12.83,20.362,39.696,32.816,39.062,31.23,35.827,40.308,29.961,32.218,39.333,32.65,Rg,2076_2100
II,NA,40.31,71.496,78.602,30.942,44.108,73.501,68.713,68.622,62.986,70.569,74.098,56.695,54.518,70.346,62.557,Rg,2076_2100
III,NA,83.447,127.83,135.16,80.158,84.934,129,119.1,127.35,111.91,126.77,129.43,105.57,99.716,128.13,113.84,Rg,2076_2100
IV,NA,147.7,195.06,194.65,125.39,133.49,188.34,179.09,189.07,175.56,196.42,192.37,181.47,149.47,200.68,183.14,Rg,2076_2100
V,NA,212.72,251.95,238.26,163.81,177.97,237.35,216.38,249.7,223.09,261.55,245.75,245.83,199.69,262.64,243.41,Rg,2076_2100
VI,NA,239.4,282.99,264.55,175.77,210.78,265.24,244.89,280.12,252.97,307.13,283.21,306.59,216.83,299.88,275.19,Rg,2076_2100
VII,NA,270.58,281.83,258.09,166.86,210.25,268.32,246.37,285.16,245.56,304.14,297.97,307.83,221.96,285.69,265.37,Rg,2076_2100
VIII,NA,233.58,244.1,220.97,122.07,175.45,216.05,209.55,230.87,205.9,258.46,254.68,254.4,193.46,233.72,225.9,Rg,2076_2100
IX,NA,163.2,176.45,164.75,71.336,112.27,150.72,150.16,165.97,130.94,183.67,165.33,173.98,136.94,158.37,155.44,Rg,2076_2100
X,NA,79.106,100.69,99.56,32.653,61.844,92.023,86.205,94.399,70.343,101.88,88.264,90.785,78.279,90.362,90.587,Rg,2076_2100
XI,NA,25.096,45.778,50.438,13.474,24.693,47.631,39.729,47.181,36.923,48.064,46.348,39.061,38.586,46.026,42.852,Rg,2076_2100
XII,NA,16.352,28.478,33.798,8.5248,13.872,29.918,25.321,30.072,25.392,28.584,31.61,21.819,24.986,31.189,25.011,Rg,2076_2100
I,27.632,19.0701,30.7852,28.9038,14.4101,17.6548,26.607,NA,29.158,25.9076,26.115,29.974,21.891,28.265,25.611,24.9228,SW_net,1981_2005
II,50.522,39.1032,60.591,55.099,31.799,38.027,51.341,NA,55.253,49.944,51.952,56.807,41.924,50.92,51.005,49.116,SW_net,1981_2005
III,92.659,73.919,109.452,102.298,66.228,68.739,103.39,NA,93.742,90.681,103.364,109.197,85.579,90.811,94,90.736,SW_net,1981_2005
IV,146.35,117.776,163.823,150.707,115.837,109.777,153.16,NA,140.206,147.05,167.925,159.837,142.31,135.43,146.339,145.02,SW_net,1981_2005
V,176.93,153.484,210.151,179.168,145.386,149.014,185,NA,179.345,189.176,217.593,198.493,189.28,174.29,193.98,188.932,SW_net,1981_2005
VI,179.74,192.573,227.181,195.328,155.166,156.792,205.81,NA,190.53,200.784,243.822,227.358,236.2,181.18,218.019,223.473,SW_net,1981_2005
VII,177.41,199.34,217.846,190.659,128.707,154.532,200.04,NA,187.84,187.797,226.658,234.654,242.36,164.5,210.738,211.106,SW_net,1981_2005
VIII,156.64,171.548,189.644,153.894,95.398,117.007,168.18,NA,157.964,150.333,192.506,202.981,194.9,138.48,161.103,176.11,SW_net,1981_2005
IX,108.49,127.27,132.857,111.839,55.592,87.268,116.33,NA,111.956,96.65,136.624,136.716,124.21,109.25,106.431,124.638,SW_net,1981_2005
X,69.725,53.8633,79.386,69.584,31.0537,48.699,73.144,NA,63.766,55.523,71.846,76,67.36,65.091,59.085,69.53,SW_net,1981_2005
XI,35.622,21.1279,38.1869,36.8039,15.3792,22.0191,37.973,NA,33.845,29.044,36.8794,40.5354,30.358,35.519,29.528,32.2078,SW_net,1981_2005
XII,22.07,14.1281,24.3089,23.8055,8.893,12.6679,21.863,NA,23.9085,20.2108,21.859,25.633,17.16,21.94,19.722,18.5519,SW_net,1981_2005
I,NA,17.5444,30.9076,36.8146,10.0896,16.4175,33.447,NA,31.1664,24.7388,30.2117,32.6878,23.156,28.169,25.971,27.6025,SW_net,2076_2100
II,NA,34.3165,61.107,67.116,24.8733,35.704,61.914,NA,56.127,51.923,61.2233,61.147,43.997,47.816,48.386,53.357,SW_net,2076_2100
III,NA,72.464,110.686,116.69,65.374,69.807,108.68,NA,104.433,94.301,111.712,108.468,82.421,87.189,91.17,98.643,SW_net,2076_2100
IV,NA,128.291,169.977,168.982,102.649,109.834,158.45,NA,153.775,148.935,172.808,161.88,143.68,126.58,147.105,160.23,SW_net,2076_2100
V,NA,183.825,220.218,207.483,134.368,146.44,198.61,NA,200.193,184.348,226.97,204.883,199.19,164.23,196.716,213.818,SW_net,2076_2100
VI,NA,206.167,248.205,231.028,144.287,173.454,222.08,NA,224.154,204.769,263.856,233.815,250.07,177.15,224.887,242.426,SW_net,2076_2100
VII,NA,233.003,246.863,224.471,136.919,173.034,225.21,NA,230.393,197.179,260.694,243.562,251.27,182.19,210.826,233.498,SW_net,2076_2100
VIII,NA,200.301,211.452,190.484,99.981,144.401,181.77,NA,189.129,164.677,221.5,210.799,207.44,162.67,161.833,197.246,SW_net,2076_2100
IX,NA,139.397,150.829,140.647,58.309,92.418,126.76,NA,136.082,103.463,157.429,138.531,141.6,117.33,107.75,133.993,SW_net,2076_2100
X,NA,67.829,85.888,84.624,26.6085,50.913,77.537,NA,75.391,54.436,87.434,74.827,73.682,67.229,60.913,77.747,SW_net,2076_2100
XI,NA,21.5523,39.1538,43.0924,10.8822,20.3261,40.088,NA,36.329,28.7085,41.5913,39.1092,31.361,33.29,30.189,36.7433,SW_net,2076_2100
XII,NA,13.7728,24.1489,28.7279,6.788,11.3092,25.144,NA,23.2962,19.9043,24.661,26.1625,16.997,21.829,20.499,21.2524,SW_net,2076_2100
I,37.568,22.69,45.74,34.84,22.91,28.7,43.123,NA,31.56,33.92,31.46,38.69,34.843,28.705,46.41,38.7,LW_net,1981_2005
II,44.12,30.57,55.93,43.08,26.95,33.26,47.766,NA,38.49,38.08,39.31,43.08,36.763,30.546,54.36,46.82,LW_net,1981_2005
III,50.532,39.59,65.19,56.04,37.36,34.83,58.981,NA,41.96,42.77,51,46.2,52.837,39.858,60.24,55.28,LW_net,1981_2005
IV,60.022,48.71,71.39,63.08,53.14,43.84,63.387,NA,53.49,54.77,65.52,43.81,71.102,49.569,66.99,64.34,LW_net,1981_2005
V,62.156,55.6,74.48,61.7,55.59,52.35,64.368,NA,65.86,67.4,75.45,44.14,78.887,57.612,73.12,67.34,LW_net,1981_2005
VI,58.711,65.07,70.92,61.02,52.51,50.31,69.401,NA,66.17,65.56,80,49.44,83.988,54.942,74.16,70.43,LW_net,1981_2005
VII,58.528,71.11,68.38,60.31,40.75,51.08,73.634,NA,66.55,61.38,77.1,66.76,83.603,50.731,72.81,69.75,LW_net,1981_2005
VIII,59.433,68.39,70.11,55.67,38.26,46.39,70.602,NA,63.52,55.76,74.52,75.58,77.739,50.385,64.76,67.65,LW_net,1981_2005
IX,52.79,64.96,65.7,52.57,30.82,47.24,63.117,NA,54.62,46.73,64.14,55.69,67.301,52.819,58.67,64.6,LW_net,1981_2005
X,49.161,37.54,58.3,46.56,26.47,42.12,56.293,NA,39.93,39.49,44.91,42.27,56.663,46.269,49.11,54.3,LW_net,1981_2005
XI,38.766,22.92,46.4,38.52,21.86,31.47,49.561,NA,32.77,34.19,33.99,40.83,43.558,38.004,43.79,42.54,LW_net,1981_2005
XII,34.754,21.48,42.88,34,19.23,27.07,44.365,NA,31.3,32.52,30.59,38.46,36.501,28.884,43.95,35.45,LW_net,1981_2005
I,NA,20.91,43.2,41.16,15.12,25.17,42.667,NA,31.88,30.65,29.2,37.8,39.219,29.279,42.46,38.98,LW_net,2076_2100
II,NA,24.81,53.18,48.29,21.33,29.41,47.668,NA,36.81,38.29,40.19,39.91,43.989,29.71,46.8,45.64,LW_net,2076_2100
III,NA,36.88,62.92,58.55,38.32,37.12,54.071,NA,48.72,44.04,52.15,41.53,52.798,39.004,53.94,54.7,LW_net,2076_2100
IV,NA,50.97,69.62,64.85,45.03,44.14,57.443,NA,58.43,57.62,64.07,42.73,70.664,45.913,62.67,65.25,LW_net,2076_2100
V,NA,63.75,73.27,64.59,46.94,47.49,59.015,NA,66.77,62.39,73.33,45.01,79.508,51.817,69.04,70.31,LW_net,2076_2100
VI,NA,65.49,72.14,65.53,40.36,50.11,62.868,NA,69.46,59.54,85.36,57.16,85.591,51.538,70.06,70.78,LW_net,2076_2100
VII,NA,80.98,73.38,65.62,39.63,50.36,70.926,NA,79.37,58.3,94.88,81.03,83.871,54.285,63.98,69.93,LW_net,2076_2100
VIII,NA,80.11,74.46,65.25,36.25,52.02,66.066,NA,77.92,58.8,92.31,83.66,76.435,58.126,59.89,69.46,LW_net,2076_2100
IX,NA,68.27,70.44,61.36,29.92,47.84,58.466,NA,65.88,48.51,76.23,56.54,69.508,57.125,54.47,63.09,LW_net,2076_2100
X,NA,45.28,58.7,50.54,21.83,42.93,51.394,NA,47.81,38.55,54.21,39.6,56.539,48.193,47.25,55.15,LW_net,2076_2100
XI,NA,21.7,44.53,39.06,16.31,30.52,44.226,NA,35.8,33.23,35.73,37.08,44.03,36.97,38.88,44.46,LW_net,2076_2100
XII,NA,19.93,40.89,36.67,15.27,24.01,40.658,NA,30.02,32.79,27.15,36.32,36.794,30.402,39.39,36.08,LW_net,2076_2100
I,57.462,75.186,78.775,54.962,60.108,72.615,53.94,66.637,63.592,65.812,59.44,75.795,75.977,71.333,75.593,59.523,P,1981_2005
II,51.047,62.634,62.607,43.404,49.763,52.279,43.229,55.759,47.561,52.797,69.757,59.735,63.845,66.14,55.181,54.412,P,1981_2005
III,63.407,74.352,62.173,44.05,45.94,61.518,43.326,53.054,55.403,66.127,68.584,78.951,60.82,66.748,69.533,62.157,P,1981_2005
IV,63.022,68.57,64.923,50.237,41.032,62.461,59.243,68.284,62.407,72.013,67.99,86.968,51.742,72.039,68.166,60.691,P,1981_2005
V,80.323,72.161,84.876,69.636,59.505,71.229,80.376,94.84,72.574,89.349,75.403,110.67,61.757,79.483,75.531,78.433,P,1981_2005
VI,91.552,54.139,104.81,83.237,65.98,78.543,77.609,103.81,90.404,103.25,71.38,95.121,76.26,81.05,83.498,86.634,P,1981_2005
VII,97.963,52.26,92.495,81.851,83.225,72.278,73.113,99.741,77.454,97.473,62.826,47.309,90.165,96.122,78.328,73.716,P,1981_2005
VIII,84.444,44.706,69.246,79.958,70.773,70.788,58.689,78.837,65.683,88.259,56.987,29.414,75.37,75.711,83.232,62.929,P,1981_2005
IX,71.716,45.997,61.113,59.582,73.887,61.228,53.956,68.283,65.091,83.47,55.369,52.44,62.063,59.94,71.054,50.336,P,1981_2005
X,56.987,72.244,65.821,51.316,70.406,58.064,55.386,60.784,72.751,76.598,64.053,82.991,56.901,64.754,77.82,52.673,P,1981_2005
XI,59.905,84.395,74.024,48.05,68.434,68.459,51.214,59.356,77.062,67.59,57.791,74.209,65.328,65.34,75.277,66.15,P,1981_2005
XII,65.809,89.488,85.443,52.792,70.635,73.949,57.347,57.199,63.91,68.581,63.822,88.144,75.216,76.575,77.736,71.411,P,1981_2005
I,NA,88.844,88.541,68.141,87.776,84.828,61.323,72.462,68.054,76.308,88.482,85.936,84.329,81.261,70.659,74.041,P,2076_2100
II,NA,73.207,70.318,54.116,70.393,65.911,57.903,58.365,59.003,52.781,80.017,79.243,70.77,76.076,67.195,61.826,P,2076_2100
III,NA,76.902,72.086,54.905,58.879,70.306,60.855,68.041,50.333,65.27,77.083,86.993,75.389,75.349,80.261,66.712,P,2076_2100
IV,NA,64.383,64.789,58.62,66.044,69.227,74.944,83.295,66.629,68.434,79.811,82.603,59.459,73.28,75.392,61.667,P,2076_2100
V,NA,54.676,79.085,73.729,70.208,73.366,92.39,119.19,79.682,89.642,79.575,89.331,53.913,89.366,85.988,73.751,P,2076_2100
VI,NA,56.849,91.432,78.657,86.419,72.035,93.698,107.77,87.929,93.821,59.062,66.939,49.532,75.222,83.814,83.376,P,2076_2100
VII,NA,27.859,67.883,71.526,79.787,56.905,75.291,92.995,50.032,91.528,31.693,26.449,61.737,61.362,96.725,73.318,P,2076_2100
VIII,NA,30.428,54.306,55.877,66.559,49.768,79.769,79.782,39.555,70.807,24.192,16.308,64.421,52.55,78.565,63.299,P,2076_2100
IX,NA,39.924,48.464,52.546,77.571,58.934,70.663,59.45,47.592,77.119,35.671,45.043,48.073,52.059,77.438,53.591,P,2076_2100
X,NA,75.339,67.777,60.577,94.706,57.902,65.04,65.509,68.833,79.837,57.209,85.457,67.81,64.647,86.912,61.899,P,2076_2100
XI,NA,92.494,81.845,71.642,106.06,82.622,65.513,70.333,83.856,72.789,67.86,88.29,85.032,69.632,83.649,75.669,P,2076_2100
XII,NA,98.471,95.711,70.626,98.168,96.196,66.217,72.249,79.691,82.554,87.626,82.938,97.698,83.689,82.234,78.411,P,2076_2100
I,-1.38,-1.182,1.8113,-0.10089,-5.9241,-3.9278,-2.009,0.11408,-0.11217,-0.76678,-3.1846,-1.0503,0.44791,-0.11144,0.23225,0.52897,Ta,1981_2005
II,-0.64,-0.32228,3.6529,1.5584,-4.7579,-2.5772,-1.3394,-0.21229,0.13906,-1.1173,-0.79531,-0.88183,-0.1361,0.53663,2.0166,2.5267,Ta,1981_2005
III,3.2,2.2093,5.3013,4.4728,-0.37538,2.2224,1.95,1.9867,2.6206,1.9395,3.0878,3.1338,2.6093,4.1561,3.8174,4.851,Ta,1981_2005
IV,7.62,6.1708,9.2184,8.7171,6.7137,6.573,5.8408,6.725,7.4264,6.895,8.5185,7.3426,6.8832,8.7697,7.7873,7.9975,Ta,1981_2005
V,12.99,10.818,13.437,13.436,11.904,11.705,10.944,11.809,12.282,11.753,14.753,11.838,11.485,12.944,12.162,12.394,Ta,1981_2005
VI,15.72,16.138,17.837,17.294,15.65,14.895,17.365,14.479,15.829,15.53,19.211,15.715,16.787,15.601,16.36,17.547,Ta,1981_2005
VII,17.9,18.038,19.413,19.15,16.221,16.353,20.643,16.59,17.743,16.273,20.194,17.876,19.776,16.787,17.771,18.103,Ta,1981_2005
VIII,17.84,16.89,18.793,17.744,14.351,14.847,18.678,15.871,16.808,15.666,18.815,16.647,18.383,16.35,16.66,17.411,Ta,1981_2005
IX,13.62,13.382,14.585,13.613,9.6242,12.13,13.096,12.229,13.645,11.533,13.721,11.631,13.399,14.131,12.686,13.567,Ta,1981_2005
X,9.07,7.5465,10.411,8.8852,4.7202,6.7385,7.919,8.1874,8.4106,7.3632,7.2086,6.8514,8.3176,9.7889,7.6628,9.6706,Ta,1981_2005
XI,3.26,3.1853,5.9468,4.6434,-0.75082,2.2005,2.4884,3.0107,3.7855,4.3699,2.1244,3.8035,4.4319,4.5577,3.1557,5.2493,Ta,1981_2005
XII,-0.31,0.28925,3.6507,1.6105,-2.5879,-2.2043,-0.32563,0.78876,1.1052,1.423,-2.7924,2.0301,1.9907,1.9722,0.61994,2.7102,Ta,1981_2005
I,NA,3.3314,5.0619,4.4754,1.35,2.0023,2.9048,3.1103,5.1911,2.7517,2.8917,3.2598,4.1712,3.5674,4.1087,4.8192,Ta,2076_2100
